Index,long,lat,B04
0,40.55527781468857,-120.96012778569894,510
1,40.168990282416786,-121.19251157034941,394
2,40.0716397686962,-121.15474969268766,369
3,40.24548034397307,-121.7693750098431,241
4,39.88669153535598,-121.177963156973,220
5,40.57323757988562,-121.61937653607472,290
6,39.999619134722295,-120.58869608519073,271
7,40.163082567554305,-121.53988808239271,874
8,40.058929293462704,-121.23516902776696,1118
9,40.232932915840905,-121.68520356464738,1174
10,40.063901429391606,-121.43038262016037,374
11,39.794743947894695,-120.81974706265429,193
12,39.93430534887489,-121.53013315740625,844
13,40.39457459588632,-121.58037973552204,698
14,39.728446274021366,-120.7633839488682,482
15,40.3982259263314,-121.7992380147912,658
16,40.22102726091605,-121.4714207008567,369
17,39.94561569084099,-121.60702835635472,232
18,40.50545764222542,-121.67010030708961,777
19,40.289319451677095,-121.40506212879646,604
20,40.1437774518207,-120.78843483609822,695
21,39.83360639287547,-120.58937327230652,644
22,39.70225810422924,-120.60234963265356,245
23,39.70890529685363,-120.84963030321612,294
24,40.3970317304005,-120.93628199527636,362
25,39.772850974993155,-121.0101588259625,1178
26,40.14083543428441,-121.09407006323671,1554
27,39.7623793072225,-121.00368976856551,675
28,40.55494831791456,-120.54939023716736,1322
29,40.346886565763704,-120.85386577066507,455
30,40.48352196842928,-120.6228919375234,623
31,39.95861575169853,-121.36746653162298,965
32,40.548467480251745,-121.45596876982005,594
33,40.278658278433205,-120.5526960527144,792
34,39.758565282619564,-120.89991248997617,669
35,40.12256087014602,-121.01971145905402,239
36,40.2574756767541,-121.80502256736777,648
37,40.5365659947608,-120.61794747781471,1404
38,39.77957764924435,-120.94130819723753,307
39,39.93465113159349,-121.71059181331162,564
40,39.923787086300315,-121.07623418513606,1636
41,39.920792367569376,-121.02670826913005,597
42,40.550936933394155,-120.81158002765258,1238
43,40.18835530035312,-120.73647939488998,388
44,40.067284895464354,-121.25746668944439,365
45,39.8480731068873,-120.82916359876798,444
46,40.15780794601084,-120.97935520424123,684
47,40.63618949383426,-121.57349986265662,715
48,40.39994192108378,-120.87810342144672,474
49,40.45376683562966,-121.17629232907585,644
50,39.768552240773246,-121.51767006577583,1
51,40.13077919623057,-121.20901676111222,536
52,40.598600526202596,-121.02191833275867,521
53,40.31483049864315,-121.12955045173652,210
54,40.06875773540908,-120.59950789802217,523
55,40.0749784853499,-121.46366813493619,547
56,40.350843678796004,-120.83419501748394,952
57,40.411878519635785,-120.97094773739592,375
58,40.38306912897861,-120.7620127326705,1094
59,39.89021037980907,-120.5478630632748,669
60,40.171992887052696,-120.6790126588842,610
61,39.65115982964895,-120.8890653706215,313
62,40.54659125587452,-121.36543592372946,1176
63,40.58726838106499,-120.94556753152816,1310
64,39.81750560821331,-121.02417561400348,1058
65,40.22930870217564,-121.0089651076637,576
66,40.18202830201627,-121.80106182694918,1172
67,39.940070011928086,-121.12984950691455,634
68,40.49958313508876,-120.98954738496543,423
69,40.55376094370966,-120.89073174522672,332
70,39.97367793728149,-121.50212284101862,1154
71,40.168901090222015,-120.79736563875782,200
72,40.47702521278236,-121.11007359192635,242
73,40.05818859361987,-120.93939284174746,255
74,40.48240849486878,-121.00693040172546,398
75,40.22263745584526,-121.44353066480599,1048
76,40.04277528350146,-121.70351653594057,137
77,40.342579083350465,-120.65527918595221,1019
78,39.66138089278552,-121.14461316470171,976
79,39.74313845321589,-120.55822189857653,546
80,40.31436081177496,-121.5060357549117,731
81,39.711810051859345,-120.7186630945783,1372
82,40.48656739116291,-121.17693831013453,549
83,39.70629633691226,-120.69948324974989,189
84,39.69691853791818,-121.18133190659698,892
85,40.51486842364415,-120.94695368295625,1009
86,39.65523192282572,-121.04442369890396,2146
87,39.782419877609385,-121.14732078443808,253
88,39.83075490747951,-120.95181620363958,426
89,40.13812230544924,-121.1716150505962,1
90,40.30067357369291,-121.30395961395269,289
91,40.46392367644134,-121.74216090051749,1202
92,40.49656909112983,-120.87647693103601,610
93,40.301161869003444,-121.43443454462725,866
94,40.46986142933344,-121.20310435266654,697
95,40.517871833471105,-121.04211748509441,502
96,39.95929484023367,-121.40983102427799,293
97,40.485391600996785,-120.96106613056149,700
98,40.576548137031416,-121.38171955984083,608
99,40.19929880205721,-120.60877000997368,1152
100,39.90828768487535,-121.73003862420752,339
101,39.9699263180972,-121.14332070221522,1578
102,40.161604739096894,-121.05908592939512,451
103,40.483118017293926,-121.2098294592565,555
104,40.10290617432914,-120.53977004955122,641
105,40.128487870368005,-120.66136497797224,778
106,40.32119621951164,-121.24247955137686,440
107,40.26454165324511,-121.80007653730124,688
108,40.233894599542765,-120.77139996478371,1134
109,39.920683967528845,-121.55745364672288,386
110,39.940228635924065,-121.48634964269073,921
111,40.002696126350116,-121.80525924576885,1188
112,40.075904753510464,-121.60074131745492,793
113,39.788596639161156,-120.8042931819787,269
114,40.412294731958305,-121.31659869145506,341
115,40.56726326945035,-120.6389470529706,1282
116,40.00156698487214,-121.49905338222221,337
117,39.77328703572565,-121.06793925175634,777
118,39.89108926155403,-121.59795741757411,225
119,40.4845101826083,-121.47654882534823,1012
120,39.86048507171688,-121.61529833291998,288
121,40.464145712227875,-121.46934255214875,595
122,40.032961479010865,-121.15286288845542,744
123,40.214941431149036,-121.54441610146422,724
124,39.907830841014004,-121.6191419172872,160
125,40.03524406309282,-120.876093773987,1062
126,40.270480190028664,-121.1728763599624,17
127,40.07810232226549,-121.79631901310275,1324
128,39.800358048209695,-120.80216705532851,682
129,40.15355475186816,-121.58517702925685,392
130,40.358073284657515,-121.2866241238452,278
131,39.71021349976085,-120.99831259645957,839
132,40.34702933229384,-120.95111169860608,1196
133,40.42386945695272,-120.65717209904611,1064
134,40.23801687882707,-121.68863187643464,186
135,40.07669657296773,-121.08882373257899,649
136,40.47847532458222,-120.6536224462708,483
137,39.76834029069762,-121.18564104397957,1062
138,39.878035273240194,-121.33944402091774,685
139,40.13758956410651,-121.52587878598584,275
140,40.446435192580424,-121.80911099293309,854
141,40.19272561744063,-121.47722535478673,243
142,40.379795646387564,-121.29962056537585,693
143,39.89122192090257,-121.71842366931234,921
144,40.0105605626978,-121.16049658048306,989
145,39.78324393393204,-121.30739396574475,1796
146,40.27827762144608,-121.24594408044112,641
147,40.085762551841384,-120.68698844311795,624
148,40.23820160431644,-121.68110475219454,372
149,39.65358975144281,-121.28235500235454,1522
150,39.81429937123582,-121.2993890452328,498
151,40.320800112058826,-120.87540594847432,571
152,40.02252687801167,-121.7055405174025,143
153,40.33302346395009,-121.62334330828331,338
154,39.6682294483808,-120.81347232904035,204
155,40.33346406951533,-121.12868274583413,563
156,40.20371328643241,-121.79844740482694,1540
157,39.80926793705565,-121.01132836294146,641
158,39.91600861656921,-121.17461230249499,314
159,39.937230234063655,-120.77532326941626,505
160,39.94626735445608,-121.28594169455576,533
161,39.96995899135829,-120.86781305875358,592
162,40.429407230553,-120.7087281007149,369
163,40.52856626139081,-120.55412964963953,1056
164,39.67102922309809,-121.43243398901193,2564
165,40.43377242750136,-121.69591828310227,446
166,40.6127517838612,-121.41347150943521,621
167,40.35843445999284,-121.75083632691003,1332
168,40.18555755803047,-121.74308928683688,1500
169,40.61103636309594,-120.71482502443965,715
170,40.537133692704934,-120.58026448571154,496
171,40.09102182665906,-121.47785259427306,448
172,40.34353852946041,-121.68305824918501,302
173,39.890693021409,-121.43328868477795,280
174,40.46246158881522,-120.6106621002961,869
175,40.03143273320966,-121.14177067716996,1104
176,40.15383606850071,-121.75893773712255,1194
177,40.396053975538976,-121.59825868469257,616
178,39.96775349108713,-121.37661616350421,1726
179,40.487044331086175,-121.34635221553391,529
180,39.93749715374678,-121.47728092325761,271
181,39.67809551779838,-121.81588584678069,597
182,40.572271680445894,-121.65200254433987,242
183,39.95030127058413,-120.8815336483597,1278
184,39.983753024669134,-120.96868421401412,436
185,40.113679819762154,-121.16980594132792,989
186,40.592472425860755,-121.48650882456772,363
187,40.46952528907963,-121.11417637622817,391
188,39.84039937535817,-120.58679840974362,711
189,40.1268657577751,-121.0080855381101,659
190,39.92083506814108,-121.48455366811018,243
191,40.42430253114606,-121.25759720184803,424
192,39.8980617972173,-121.05168939453671,122
193,39.65706220277202,-121.3102435704532,2754
194,40.088216447913354,-120.75211655810092,122
195,39.79143469168455,-121.05949012118134,974
196,39.64795509355248,-121.1445060145626,1038
197,40.549345194863186,-120.61737639199063,429
198,40.29923864744001,-121.33541023633445,299
199,40.540595875187016,-121.75123713195207,731
200,40.05328827081649,-121.08971243734953,258
201,39.74020583106011,-120.95648425093015,440
202,40.290492371933254,-121.26139230895694,1374
203,39.66391864655148,-121.54368988153198,673
204,40.12780704250054,-121.45954509156195,328
205,40.640089149685245,-121.45646083140124,800
206,40.15813016638638,-121.21252500191014,1272
207,40.55849561108211,-121.24360998349749,302
208,39.99589238356096,-120.75280540878154,218
209,40.01133101004414,-121.34289572022676,1032
210,39.913966425775534,-121.00163396591525,197
211,40.23165949379946,-121.02523398056456,1392
212,40.49143058514158,-121.74495128413123,631
213,40.19909466342497,-120.66493089767302,526
214,40.555742835814385,-120.83716951685167,576
215,39.77583763972879,-121.22771121386495,895
216,39.88112831302265,-120.78590817907235,1394
217,40.379823747157054,-121.12103920237234,416
218,39.962308975132515,-121.69438341602019,182
219,39.81316312956004,-121.60596772486615,725
220,40.545167486685195,-121.6224330847677,307
221,39.94105707251348,-121.76946258937316,666
222,40.586370846060625,-121.19939808305439,376
223,39.972657722485714,-121.39886552966924,385
224,40.27345137353014,-121.43048693884462,292
225,40.57515014555667,-120.67694481883098,611
226,39.689090202875946,-121.01688106846572,173
227,40.34754585330943,-120.86514761627619,893
228,40.487274693706524,-121.31861976886769,510
229,39.98652421737977,-121.41798374890857,473
230,39.79117693173071,-121.5114618078069,1462
231,40.44400851946777,-121.20898120001254,385
232,40.0298114405967,-120.60239787884443,993
233,40.05736595378231,-121.53675417157666,283
234,39.95893603120838,-120.67862649866711,278
235,40.225922373330896,-120.65519522120628,778
236,40.096536207712994,-120.62292976162401,918
237,40.37743238075347,-121.03676681347909,599
238,40.010758783993765,-120.96237720762828,669
239,39.75660703796542,-121.5419727694332,763
240,39.76959130753808,-120.75738265972862,280
241,40.38218701036475,-121.27859163156747,350
242,40.100803732472265,-120.82631067312506,1466
243,40.06129064542548,-120.76191239349352,725
244,40.49169142325404,-121.71945897802182,466
245,40.011169962832156,-120.64217963889284,660
246,39.76237230398296,-121.5490890862681,948
247,40.18394137724448,-121.35538141151012,492
248,40.12470805439114,-121.50491525585981,372
249,39.91585786896506,-121.19953674120562,443
250,40.28380354662932,-121.17228232231892,30
251,39.947736988029355,-121.70449328903112,825
252,39.68040300954265,-121.32308373296215,684
253,40.12306314861442,-121.34429279094697,232
254,39.672851971382144,-121.44067057724898,2444
255,40.441610166150646,-120.7660844518612,525
256,39.81702352216317,-120.55035077052338,560
257,39.749839493028425,-121.0450183985363,761
258,39.896045040672284,-121.78138017768738,1100
259,40.27159382893766,-120.78780294560818,972
260,40.56580995262703,-121.43265390134053,521
261,40.1146257494312,-120.92666028959842,774
262,40.590163171223246,-120.6709897393419,919
263,39.949034800987775,-120.94630168777779,129
264,39.99852522603121,-121.7431284478772,590
265,40.090145269523326,-120.7867710248667,168
266,40.37408736961334,-121.52697958389349,891
267,40.53981954815734,-121.49005629944295,476
268,40.4972903822101,-121.33843034984275,835
269,40.17739992511179,-121.22951879587,816
270,39.75206316228785,-121.58245489945794,696
271,39.971241170791124,-121.03193189593242,128
272,40.30067406575478,-121.41844381769339,465
273,39.68880832862683,-121.17548093006526,555
274,40.19324842389223,-121.48273503851229,912
275,39.84418759096538,-121.13946682313724,323
276,40.52085323235668,-121.73342411976499,1001
277,40.5751926139156,-121.28771213918847,366
278,40.597317558594355,-120.96877681726099,1306
279,39.90475920862515,-120.96435230926593,545
280,40.24597345459403,-121.33377691740098,1154
281,39.73965430760004,-121.5408130196713,946
282,40.3932398001047,-121.73711469288098,1216
283,40.143226729263574,-121.2453146881422,1296
284,40.182073003227764,-120.84626830613166,280
285,40.228369090731285,-120.9704422428752,586
286,40.129748303655255,-120.98206448085847,550
287,40.304546496367145,-120.92286289700449,841
288,39.6697148939613,-121.69792695110799,1100
289,40.44917135042127,-121.69538478759036,209
290,40.166800986612714,-120.90252758508227,612
291,40.04757548631678,-121.20568733941802,1314
292,39.795807495163615,-121.27952242003632,647
293,40.15233488211465,-120.9651946683519,271
294,40.23928302039181,-120.77521984085237,752
295,40.018822893852665,-120.88949184432988,362
