Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
286,607180,4472170,4,616,866,1158,2298,2168,1447,3298,291,2272
287,625400,4429429,4,267,516,500,2430,1659,944,6587,1885,4404
288,625029,4399880,4,292,574,529,2808,2148,1319,6829,1331,3607
289,653059,4434579,5,648,1018,1056,3156,2852,2037,4985,505,2154
290,685279,4441210,5,62,311,155,3153,1254,589,9062,4309,6851
291,642830,4474880,4,67,255,226,1576,1250,838,7491,1153,3057
292,652329,4481460,5,324,438,607,851,1782,1676,1673,-3535,-3264
293,620500,4445759,4,668,881,896,2308,1634,1111,4406,1709,3501
294,611850,4466720,4,103,376,197,2568,1448,779,8575,2788,5345
295,612569,4466230,4,263,438,403,2007,1505,875,6655,1429,3927
296,612150,4484680,4,355,658,636,2703,1988,1165,6190,1524,3976
297,672090,4447230,4,483,730,1118,1513,2984,2881,1501,-3271,-3113
298,617620,4398320,4,197,432,310,2398,1698,1007,7710,1708,4085
299,632680,4491740,4,525,681,878,1230,2551,2414,1669,-3493,-3249
300,662960,4438020,4,826,1100,1546,1870,3078,3091,948,-2441,-2461
301,699459,4427590,4,230,273,590,875,1661,1559,1945,-3099,-2810
302,612769,4441879,4,246,484,423,2345,1814,1055,6943,1276,3794
303,680969,4424390,5,166,482,370,3952,1859,1062,8287,3601,5763
304,651779,4404380,5,375,595,745,1950,2383,1959,4471,-999,-23
305,672670,4412970,4,392,584,750,2182,1436,869,4884,2061,4303
306,681310,4468520,5,755,949,1194,1859,2042,1726,2178,-469,370
307,694099,4484589,4,694,930,1096,2328,2418,1750,3598,-189,1417
308,656010,4420030,4,178,406,333,2305,1382,697,7475,2503,5356
309,642619,4423509,4,670,858,1030,1808,2781,2414,2741,-2120,-1435
310,673310,4446650,4,39,223,184,1934,1161,632,8262,2497,5074
311,665470,4404380,5,582,812,1070,1555,2876,2831,1847,-2981,-2909
312,662889,4464029,4,123,370,320,1715,1416,963,6855,954,2808
313,641759,4446510,4,272,381,648,1030,1848,1574,2276,-2842,-2089
314,657599,4433050,5,408,662,747,2496,1781,1082,5393,1671,3951
315,643250,4392120,5,507,849,1030,2985,2990,2161,4869,-8,1601
316,611849,4454440,5,576,769,1016,2535,2594,1711,4277,-115,1940
317,630729,4434690,4,188,360,350,1968,1137,652,6980,2676,5022
318,673929,4486930,5,518,783,991,2523,2508,1899,4359,29,1411
319,666150,4406410,5,794,1074,1058,1691,2807,2639,2302,-2481,-2189
320,641079,4442729,4,303,426,660,974,1865,1720,1921,-3138,-2769
321,664940,4471209,4,292,464,718,1102,1968,1749,2109,-2820,-2269
322,661910,4447590,4,11,284,169,1639,1474,883,8130,530,2997
323,635820,4424450,4,133,306,230,2103,1025,528,8028,3446,5986
324,701739,4490040,5,528,785,706,2807,2134,1299,5980,1362,3672
325,641439,4463550,4,296,383,583,838,2027,1964,1794,-4150,-4018
326,679569,4448750,4,413,591,960,1466,2368,1970,2085,-2352,-1466
327,607609,4421690,4,119,492,241,4068,1845,835,8881,3759,6593
328,627450,4405640,5,668,966,1126,3215,2728,1708,4812,819,3061
329,611679,4391910,5,580,808,1158,2144,2906,2193,2986,-1508,-112
330,602260,4451060,5,577,819,1148,2171,2754,1923,3082,-1183,605
331,629319,4422219,4,492,736,876,2894,2601,1684,5352,533,2643
332,691680,4400010,4,549,1184,1338,2444,1476,935,2924,2469,4465
333,638130,4404950,4,94,368,226,2807,1148,564,8509,4194,6653
334,602330,4396510,5,710,1118,1220,2676,1989,1550,3737,1472,2664
335,703430,4431180,4,200,304,417,592,1435,1470,1734,-4158,-4258
336,602070,4448650,5,672,930,1166,2114,2623,1879,2890,-1074,588
337,698749,4477439,5,794,972,955,2434,1819,1416,4364,1446,2644
338,701750,4491460,4,526,848,740,2907,1545,895,5941,3059,5291
339,658709,4484679,4,278,469,420,1582,1250,833,5804,1172,3101
340,676299,4405320,4,548,772,1210,1953,3260,2539,2349,-2507,-1304
341,606390,4499440,4,179,395,313,2180,1578,905,7488,1601,4132
342,676740,4430500,4,127,346,518,1419,2003,1320,4651,-1706,361
343,696859,4420560,4,286,415,503,1434,1465,991,4806,-106,1826
344,643130,4486750,6,232,257,137,246,155,172,2845,2269,1770
345,633440,4459290,4,203,480,342,2250,1336,743,7361,2548,5035
346,656999,4430550,5,970,1226,1462,1875,2343,1802,1237,-1109,198
347,610460,4431060,4,115,336,189,2231,1056,495,8438,3574,6368
348,644339,4471299,4,526,704,1138,1670,2403,1888,1894,-1799,-612
349,638410,4489710,5,608,787,1032,1416,2539,2466,1568,-2839,-2704
350,705559,4397460,4,88,363,358,2199,1218,751,7199,2870,4908
351,670270,4497440,5,502,768,886,2030,2416,1769,3923,-868,687
352,639010,4433220,4,401,542,916,1455,2312,1866,2273,-2275,-1237
353,618030,4418439,4,5,134,98,1245,1124,586,8540,510,3599
354,638640,4425440,5,642,866,1042,2119,2998,2647,3407,-1717,-1107
355,676520,4463630,4,344,612,736,2353,1986,1403,5234,845,2529
356,620479,4472519,4,312,524,651,1807,1964,1325,4703,-416,1538
357,651729,4482920,5,1490,1294,1444,1932,1221,912,1445,2254,3586
358,689250,4456689,4,510,791,1220,1576,3009,3167,1273,-3125,-3354
359,698660,4477800,5,766,974,1090,2388,2301,1679,3732,185,1743
360,637449,4409059,4,222,701,385,4760,2432,1245,8503,3236,5853
361,648929,4429559,4,154,466,473,2578,1642,915,6899,2218,4760
362,705170,4482660,5,616,746,852,1497,1837,1504,2745,-1019,-23
363,668639,4420830,4,321,594,630,1952,1957,1216,5120,-12,2323
364,702630,4441179,5,449,674,698,2166,2280,1836,5125,-256,824
365,675269,4410980,4,275,494,588,2042,1337,1004,5528,2086,3407
366,671589,4397510,4,449,678,835,2018,2532,1797,4146,-1129,579
367,681109,4391170,4,144,366,306,1918,1125,636,7248,2605,5019
368,619070,4437450,4,140,346,259,2418,1505,876,8064,2327,4681
369,699150,4468420,5,626,749,968,1656,2775,2656,2621,-2525,-2319
370,634199,4427600,4,169,317,368,2235,1559,873,7172,1781,4382
371,650639,4414500,4,381,505,522,2628,1001,573,6685,4483,6419
372,655789,4416770,6,524,557,547,442,506,474,-1061,-675,-349
373,634449,4392419,5,236,322,277,164,584,498,-2562,-5614,-5045
374,606360,4483060,4,576,778,972,2192,2935,2014,3855,-1449,423
375,678610,4448380,4,272,304,595,1037,1707,1353,2708,-2441,-1322
376,672669,4455080,4,288,516,658,1592,1545,1184,4151,149,1469
377,659780,4457310,6,350,438,320,272,304,269,-810,-555,55
378,650739,4448949,4,241,554,544,2090,1816,1292,5869,701,2359
