Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
181,605129,4421940,4,310,503,548,2106,2187,1404,5870,-188,2000
182,688009,4406600,4,84,277,250,1940,1199,684,7716,2360,4786
183,619310,4437119,4,165,392,349,2344,1474,842,7408,2278,4714
184,644960,4391059,5,1854,2102,2240,2953,4973,4286,1373,-2548,-1841
185,702580,4481830,5,724,884,1130,1758,2363,1869,2174,-1468,-306
186,705899,4462640,4,286,482,376,2334,1347,823,7225,2681,4786
187,615429,4447060,5,534,680,852,1440,1815,1269,2565,-1152,631
188,618999,4422649,4,113,395,226,2589,1256,592,8394,3466,6277
189,612679,4484709,4,112,372,273,1913,1434,819,7502,1431,4004
190,609569,4416470,4,406,636,747,2613,2068,1184,5553,1164,3763
191,659669,4411619,4,171,387,399,1962,1299,769,6620,2033,4368
192,680540,4466690,4,196,469,596,1335,1562,1265,3827,-783,269
193,670229,4408480,5,204,407,494,1430,1960,1695,4864,-1563,-848
194,639439,4424440,4,512,704,1022,1653,2329,1966,2358,-1697,-864
195,670800,4420120,4,96,410,222,2344,1223,608,8269,3142,5880
196,683119,4491690,4,272,439,424,1970,1442,988,6457,1547,3319
