Index,long,lat,B04,B02,SCL,B03,B08
411,-120.96527590283848,40.07089809047643,302,190,4,403,1999
412,-121.11244057434266,40.09203857503164,780,435,5,734,2515
413,-120.93352615691303,39.81331331423554,735,391,5,494,1170
414,-120.67200678794343,39.86412270095844,576,265,4,552,1865
415,-121.60019490585904,40.348060616824235,1068,1072,5,990,2177
416,-121.74547002027627,40.2666651689086,270,185,4,393,2956
417,-121.75469508857866,39.72863145382958,1564,612,5,935,2478
418,-121.03587492737061,39.9521190623288,322,127,4,398,1683
419,-120.89115807181946,40.16992752237134,690,360,4,614,2382
420,-121.1686194754328,40.20591086621469,372,189,4,370,1964
421,-121.37062019268197,40.03776060033045,252,189,4,336,2412
422,-121.00888492022423,40.05922402653307,256,155,4,276,1923
423,-121.75932491719318,40.42852457492576,858,592,5,762,2645
424,-121.53048102417651,39.72609954027903,1296,666,5,908,1880
425,-120.66426760738939,39.97495290243912,505,310,4,487,2452
426,-121.02469535238843,39.68904325468681,269,236,4,369,2684
427,-121.09873201195163,40.163073548174154,123,113,4,313,3129
428,-120.61493474299843,39.68224757635809,163,121,4,210,1525
429,-121.05709212126041,40.37516334387261,373,199,4,424,2017
430,-121.33548672765203,40.31050062182496,270,245,4,427,2425
431,-121.31617128399184,39.71535010774469,518,207,5,273,893
432,-121.67659160669432,40.119680201960556,607,379,4,568,2559
433,-120.52303908719556,40.596991950380676,1130,747,5,906,1736
434,-121.74183740118633,40.638957274118624,405,317,4,411,2426
435,-120.81058094088618,39.89583080809349,896,312,5,529,1630
436,-121.56662984541718,40.60907922605327,552,397,4,542,2082
437,-121.02446742049158,40.217593064490295,387,231,4,357,2426
438,-121.22333891881223,40.17568364507989,1332,639,5,998,2606
439,-121.62425772210884,40.55987313973307,653,465,4,656,3027
440,-121.49952493326917,40.05490766696178,336,261,4,426,2838
441,-121.12707681453483,40.49766078998903,234,166,4,368,2501
442,-120.86076888781427,40.329628589819514,822,451,4,668,2122
443,-120.92935943985961,40.006209461409405,231,120,4,381,2664
444,-121.00871626074351,40.4619005963349,294,146,4,323,1775
445,-121.46896608241904,39.906215276504554,199,153,4,422,3797
446,-121.1625256170828,39.711217602803906,952,506,5,761,2004
447,-120.76775577708062,40.53352361704911,412,259,5,417,1707
448,-121.58600546983044,40.52535898979793,323,260,4,408,2600
449,-121.10016994191922,39.94679451952867,480,334,4,493,2740
450,-121.80978366837543,40.2273442670999,856,471,5,708,2370
451,-121.08305870715041,40.310916228858765,547,260,4,473,1913
452,-121.11262806740996,39.75294092661756,823,516,5,628,1101
453,-120.94600249918493,39.888579805043236,609,361,4,533,1892
454,-121.80620139731346,39.71232412589401,1688,1352,5,1390,1942
455,-120.74179763677924,39.69631667446826,232,153,4,325,1945
456,-121.07485552165866,40.255828010090504,1296,702,4,1020,3163
457,-120.69681514544425,39.91227407500111,338,251,4,408,2353
458,-121.02037465129759,40.02680914205466,20,8,4,66,48
